Percentage in Communication skills,Hours working per day,Logical Quotient rating,hackathons,coding skills rating,public speaking points,can work long time before system?,self-learning capability?,Extra-courses did,talenttests taken?,olympiads,reading and writing skills,memory capability score,Job/Higher Studies?,Taken inputs from seniors or elders,interested in games,Gentle or Tuff behaviour?,Management or Technical,hard/smart worker,worked in teams ever?,Introvert,Suggested Job Role,certifications_code,workshops_code,Interested subjects_code,interested career area _code,Type of company want to settle in?_code,Interested Type of Books_code
0.86,6,5,3,5,6,1,1,1,0,0,2,1,1,1,1,0,1,1,0,0,Business Systems Analyst,1,3,8,4,6,23
0.63,9,7,4,3,6,0,0,1,0,1,1,2,1,0,0,1,1,1,1,0,E-Commerce Analyst,6,5,8,1,6,21
0.91,5,6,0,8,4,1,0,0,0,0,2,2,1,1,0,0,0,0,1,1,Network Security Engineer,3,5,4,2,3,29
0.91,4,7,0,2,6,0,0,1,1,1,2,2,1,0,1,0,0,0,1,0,Business Intelligence Analyst,4,2,9,4,6,18
0.79,11,8,6,3,3,0,0,1,0,0,1,2,0,0,0,0,1,0,1,0,Software Quality Assurance (QA) / Testing,7,0,4,0,2,0
0.74,8,5,6,9,6,0,0,0,1,0,2,0,0,1,0,0,0,1,1,1,Data Architect,7,6,7,4,0,15
0.65,8,7,4,2,9,0,1,1,0,0,2,1,0,1,1,0,0,0,0,1,Technical Support,2,7,7,1,3,28
0.66,5,2,5,6,5,0,1,1,1,1,0,1,0,0,1,1,1,1,0,0,E-Commerce Analyst,1,0,6,0,6,16
0.61,9,6,5,8,4,0,0,1,1,1,0,1,1,1,0,0,0,0,1,0,Software Engineer,4,4,5,5,9,19
0.94,6,8,4,3,9,0,1,0,0,1,1,1,0,1,1,1,0,1,1,1,Portal Administrator,3,2,5,4,2,9
0.92,7,6,2,7,2,1,1,0,0,1,1,1,1,1,0,1,1,0,1,0,Software Engineer,3,4,7,3,0,25
0.68,9,9,5,9,3,0,0,1,0,0,2,0,0,1,0,1,0,0,1,1,Software Systems Engineer,5,1,6,4,7,21
0.67,7,1,2,8,7,1,0,1,0,1,2,1,1,1,0,0,1,1,1,1,CRM Technical Developer,8,6,4,0,3,27
0.77,9,7,1,8,1,0,1,1,1,0,2,0,1,1,1,1,1,1,1,0,Information Security Analyst,0,7,2,2,8,14
0.92,7,3,5,3,5,0,0,1,0,0,2,1,1,0,1,0,1,1,0,1,Technical Support,3,5,9,1,7,17
0.64,12,4,0,9,2,0,1,0,0,1,0,2,0,0,1,1,0,0,1,1,Network Security Administrator,0,6,9,2,2,10
0.82,7,1,6,6,9,1,0,1,0,1,1,2,0,0,0,0,1,0,0,0,Business Systems Analyst,8,1,7,3,5,3
0.89,5,9,1,7,7,0,0,0,1,1,2,1,0,1,1,0,0,0,0,0,Data Architect,1,1,9,1,8,24
0.65,7,7,6,9,6,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,Design & UX,1,6,7,1,9,4
0.91,10,5,4,4,8,0,1,0,1,1,0,2,0,1,1,0,1,1,1,1,Software Systems Engineer,5,6,3,0,9,13
0.86,7,1,3,4,1,1,1,0,0,1,0,1,1,1,0,0,1,1,1,0,Information Technology Auditor,1,3,0,4,4,26
0.88,4,6,4,4,3,0,1,1,1,1,0,0,1,1,1,1,1,1,0,1,Network Security Engineer,0,4,8,5,4,1
0.63,5,7,5,2,1,1,1,0,0,0,1,2,1,1,0,1,0,0,0,1,UX Designer,1,3,4,4,1,5
0.7,5,6,2,5,6,1,1,1,0,1,0,0,0,0,1,1,1,0,0,1,Quality Assurance Associate,7,0,2,3,7,13
0.78,8,8,0,8,4,1,1,0,0,1,0,1,1,0,1,1,0,1,0,1,Network Security Administrator,2,4,2,1,3,16
0.84,12,5,1,3,5,1,0,0,0,0,2,1,0,0,0,0,1,0,0,1,Information Technology Manager,8,1,4,3,6,19
0.65,6,2,3,4,8,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,Information Technology Manager,1,7,2,4,3,2
0.61,7,3,5,9,9,1,0,0,0,1,0,1,1,1,1,1,1,0,1,1,Database Administrator,0,7,7,4,5,14
0.88,8,8,5,7,6,0,1,0,0,0,0,2,1,1,1,1,1,0,0,1,Technical Engineer,8,3,5,1,7,28
0.91,6,1,0,1,1,0,0,1,1,0,2,1,1,1,0,1,1,1,1,0,Data Architect,5,1,1,5,9,0
0.86,7,7,1,8,8,1,0,0,0,1,2,0,0,0,1,1,1,0,0,1,Technical Engineer,1,5,6,3,3,20
0.9,7,4,1,1,9,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,Project Manager,6,6,7,4,3,26
0.72,6,5,0,2,5,0,1,0,1,1,2,2,1,0,1,0,0,0,1,0,Database Administrator,8,3,4,1,0,5
0.68,4,6,3,7,5,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,Database Administrator,3,3,3,4,7,11
0.93,9,6,0,2,6,0,1,1,1,0,1,1,0,1,0,0,0,1,0,1,Network Engineer,4,6,1,4,1,15
0.89,9,1,4,6,1,0,0,0,1,0,1,2,0,1,0,1,0,1,0,0,E-Commerce Analyst,2,4,0,4,3,24
0.82,5,2,1,2,1,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,Software Engineer,3,2,4,2,4,14
0.89,12,7,4,5,9,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,E-Commerce Analyst,8,6,8,5,8,13
0.77,8,9,0,9,5,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,Network Security Engineer,3,4,0,4,5,28
0.6,7,5,1,2,3,1,1,0,0,1,1,0,0,0,1,1,0,1,1,1,Technical Support,5,3,6,3,0,8
0.83,8,1,2,4,8,1,1,1,1,0,2,2,0,1,1,0,1,1,0,1,Business Intelligence Analyst,1,2,5,1,8,21
0.94,8,4,0,6,1,0,0,0,1,0,1,1,1,0,0,0,1,1,1,1,Network Security Administrator,8,5,2,3,5,27
0.85,10,2,4,8,9,0,0,1,1,0,2,2,1,0,0,1,0,1,1,1,E-Commerce Analyst,3,0,9,5,0,10
0.72,9,6,3,5,1,0,0,1,1,0,1,1,1,1,0,1,0,1,1,1,Software Quality Assurance (QA) / Testing,8,1,3,3,8,10
0.83,10,1,0,1,8,1,1,1,1,1,1,2,0,0,0,0,1,1,0,0,Technical Support,6,4,8,0,4,4
0.6,9,1,2,9,6,0,0,0,1,1,1,1,0,1,1,1,1,0,0,1,Applications Developer,2,4,7,4,2,13
0.63,4,7,5,6,8,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,Technical Engineer,7,0,1,5,2,15
0.67,4,8,6,8,9,0,0,0,1,1,2,1,1,1,0,1,0,0,1,0,Database Developer,0,3,2,0,0,10
0.87,5,1,0,3,2,0,1,0,1,1,0,1,1,0,0,0,1,1,1,1,Data Architect,4,5,0,1,9,24
0.8,7,9,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,Information Technology Auditor,3,4,6,3,8,3
0.84,5,9,0,9,3,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,Network Security Administrator,8,3,5,0,0,29
0.65,11,8,2,6,4,1,0,0,0,0,2,1,0,1,1,0,0,1,1,1,Technical Services/Help Desk/Tech Support,1,2,1,2,6,1
0.74,10,1,4,5,6,1,1,0,1,1,2,0,0,1,1,0,0,1,0,0,Programmer Analyst,5,0,1,2,2,28
0.71,6,7,2,1,7,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,Portal Administrator,2,6,9,2,1,20
0.72,6,2,3,5,2,1,1,1,1,0,2,2,1,0,1,0,1,1,0,0,Data Architect,4,0,6,1,7,16
0.81,9,4,2,1,5,1,0,1,1,1,0,1,1,1,0,0,0,1,1,0,Network Security Administrator,5,3,2,3,2,29
0.75,7,7,0,8,8,1,1,0,1,1,2,0,0,0,0,0,0,1,1,1,Network Engineer,2,1,9,0,4,13
0.74,7,1,2,9,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,0,Software Developer,6,0,8,4,6,4
0.62,10,2,1,5,1,1,0,1,0,1,0,1,0,1,1,0,0,0,1,1,Portal Administrator,5,2,8,3,6,7
0.76,8,8,1,3,8,1,1,0,0,0,1,0,0,0,1,1,0,1,1,1,Software Engineer,0,5,7,4,6,8
0.82,5,9,6,2,4,1,0,0,1,1,0,2,1,0,0,0,1,0,0,1,Technical Engineer,8,0,1,2,2,30
0.69,5,2,1,2,7,0,0,1,1,1,2,0,0,1,1,0,0,1,1,0,E-Commerce Analyst,2,2,9,5,0,5
0.65,9,2,2,8,4,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,Information Technology Auditor,5,6,2,2,5,22
0.93,6,1,2,3,2,0,1,0,1,1,2,0,0,0,1,0,0,0,1,1,CRM Technical Developer,0,4,4,1,6,4
0.76,9,3,3,9,4,0,0,0,1,0,1,2,0,0,1,0,1,0,0,1,E-Commerce Analyst,4,5,4,5,1,6
0.66,7,3,3,2,6,1,0,0,1,0,2,2,1,0,1,0,0,0,1,0,Solutions Architect,7,6,0,5,1,0
0.79,7,8,0,6,8,1,0,0,0,1,1,0,1,0,0,1,1,0,1,0,Portal Administrator,6,2,6,1,4,24
0.63,6,5,0,2,2,0,0,0,1,1,2,1,1,0,1,0,1,1,1,1,CRM Business Analyst,2,4,4,0,5,15
0.79,6,4,4,5,3,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,Network Security Engineer,3,4,0,0,4,12
0.68,11,9,1,5,7,1,0,0,1,0,2,2,0,0,1,0,1,1,1,0,Software Developer,3,7,0,3,8,16
0.8,8,8,5,8,9,0,0,1,1,0,0,2,1,0,0,0,0,1,1,1,Software Engineer,7,6,6,3,8,7
0.9,7,5,0,3,7,1,1,1,0,1,0,2,1,0,0,1,0,0,1,0,Systems Analyst,5,7,6,5,8,5
0.63,9,5,5,2,7,0,1,0,0,0,2,2,1,0,1,0,1,1,1,0,Web Developer,3,5,0,4,6,10
0.72,6,4,1,2,7,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,Database Manager,8,0,2,2,7,19
0.9,11,1,0,4,4,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,Solutions Architect,2,3,5,4,1,30
0.69,6,8,3,7,2,1,1,1,1,1,1,2,0,1,1,0,1,0,1,1,Network Security Engineer,1,3,0,3,4,5
0.71,4,3,5,8,9,0,0,0,0,0,1,2,1,1,0,1,1,1,0,1,Data Architect,1,7,2,1,4,22
0.69,9,8,4,6,7,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,Technical Services/Help Desk/Tech Support,7,6,3,1,9,28
0.78,6,5,6,2,7,0,0,0,1,0,1,2,0,1,0,1,1,0,0,0,Information Security Analyst,7,6,6,1,9,15
0.7,4,5,6,5,3,1,0,1,0,0,2,1,0,0,1,1,1,0,1,1,Programmer Analyst,1,5,3,4,4,26
0.81,6,9,6,8,6,0,1,1,0,0,1,2,1,0,0,1,1,1,1,0,Technical Engineer,5,1,1,4,3,10
0.92,8,7,0,8,8,0,1,0,0,1,2,0,1,0,0,0,0,1,1,1,Applications Developer,2,7,5,3,1,23
0.86,7,4,4,9,5,0,0,0,1,0,2,0,1,0,0,1,0,1,0,1,Software Quality Assurance (QA) / Testing,4,0,2,0,8,12
0.86,7,9,4,9,2,0,0,0,0,0,2,1,0,1,1,0,0,0,1,1,Network Security Administrator,0,6,6,4,3,12
0.64,7,5,3,6,6,1,0,1,0,1,2,2,1,1,0,1,0,0,0,1,Network Engineer,4,6,2,1,0,5
0.87,4,9,0,2,3,1,1,0,0,1,1,2,0,0,0,0,0,1,1,1,Technical Engineer,5,4,7,5,5,0
0.79,7,4,0,1,5,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,Applications Developer,6,6,8,1,3,21
0.61,12,6,1,8,5,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1,Network Security Administrator,1,1,7,5,9,0
0.74,4,5,2,8,1,0,0,1,1,0,1,0,1,1,0,0,1,0,1,0,Database Developer,2,1,9,1,2,4
0.65,7,2,0,8,8,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,Information Technology Manager,1,2,7,5,7,4
0.92,11,5,0,8,4,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,UX Designer,7,0,3,1,6,4
0.61,7,2,4,8,7,0,1,0,1,1,2,1,1,1,0,0,0,1,0,0,Technical Support,6,6,0,4,1,7
0.7,7,5,0,2,4,1,0,1,1,0,1,2,0,0,0,0,0,0,1,1,Quality Assurance Associate,4,1,2,0,3,28
0.66,10,4,4,2,8,1,1,1,0,1,2,2,0,1,1,0,0,0,0,1,Network Engineer,1,5,7,0,4,11
0.78,5,3,5,4,1,0,1,1,1,1,1,1,0,0,0,1,1,0,1,1,Information Technology Manager,1,1,1,5,8,3
0.73,11,5,3,4,8,1,1,0,1,0,1,0,1,0,0,0,0,1,1,1,Software Developer,4,4,4,1,7,19
0.86,9,4,6,3,4,1,1,1,0,0,2,1,1,0,0,1,0,0,1,0,Solutions Architect,7,1,0,3,5,30
0.6,4,6,3,9,3,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,Information Security Analyst,4,0,8,4,7,27
0.82,7,2,0,6,2,0,1,0,1,0,2,0,1,1,1,1,0,0,1,1,Portal Administrator,7,4,8,4,7,16
0.86,9,6,6,7,2,1,1,0,1,0,0,0,0,1,1,1,0,1,0,0,Network Security Administrator,6,7,1,5,6,0
0.78,8,2,3,4,4,0,1,1,1,0,2,0,0,1,0,0,0,0,1,1,Design & UX,2,6,5,0,6,1
0.88,8,6,5,1,6,1,0,0,0,0,2,2,1,0,0,1,1,1,0,1,Software Systems Engineer,3,6,5,3,5,16
0.8,10,2,6,9,1,0,0,1,0,0,1,2,0,1,1,0,0,0,0,0,Software Quality Assurance (QA) / Testing,7,2,5,4,6,14
0.87,4,2,1,1,5,1,0,0,1,0,2,0,1,0,0,1,1,0,0,1,E-Commerce Analyst,5,6,4,5,1,13
0.83,12,1,1,7,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,UX Designer,4,3,5,0,8,23
0.67,12,9,6,3,6,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,Database Developer,1,4,8,0,3,13
0.64,8,5,4,2,7,0,0,1,0,1,2,1,0,0,1,0,1,0,0,0,Database Developer,1,7,4,0,4,26
0.86,4,8,5,1,5,1,1,0,0,0,1,1,0,1,1,0,1,1,1,1,Design & UX,8,5,1,0,3,24
0.81,9,1,1,2,2,0,1,1,0,0,0,0,1,1,1,1,0,0,1,1,Applications Developer,1,4,7,5,7,11
0.71,6,4,1,1,7,1,1,0,1,1,2,0,1,0,0,0,1,1,0,0,Programmer Analyst,8,1,7,5,7,14
0.81,7,7,5,8,8,1,1,1,1,0,2,2,1,0,0,1,1,0,0,1,Technical Engineer,4,5,1,1,1,17
0.91,7,2,1,7,3,0,0,0,1,0,0,2,0,0,0,1,1,1,0,1,Quality Assurance Associate,0,6,6,0,8,14
0.6,6,6,3,5,6,0,1,0,1,1,2,2,1,0,1,0,1,1,0,0,Software Developer,0,2,7,5,8,9
0.92,5,7,6,1,9,0,1,1,1,1,1,2,1,0,1,0,0,0,0,1,Mobile Applications Developer,8,7,6,4,7,8
0.86,12,3,1,5,8,0,0,1,0,1,1,0,1,0,0,0,0,1,1,1,Software Developer,7,1,3,4,0,22
0.81,10,3,5,4,4,1,0,1,1,1,2,0,1,0,0,1,0,1,1,0,Solutions Architect,2,6,9,4,0,22
0.91,5,6,2,1,5,1,1,0,1,0,0,2,0,0,0,1,0,1,0,0,Technical Support,5,5,7,1,3,27
0.91,10,7,6,5,6,0,1,0,0,0,0,1,0,0,1,0,1,1,1,0,Information Security Analyst,3,1,5,1,8,13
0.84,7,3,1,9,3,1,0,1,1,1,1,0,0,1,0,1,1,0,0,0,Applications Developer,4,0,6,0,2,9
0.86,9,2,4,4,5,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,Business Intelligence Analyst,8,4,3,5,5,27
0.82,4,5,2,1,1,0,1,1,0,1,0,1,1,1,1,0,1,0,1,0,Network Engineer,6,1,9,2,7,21
0.83,5,3,6,6,9,1,1,0,1,0,1,2,0,0,0,0,1,0,1,1,CRM Technical Developer,7,7,4,1,3,25
0.66,5,1,3,5,4,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,Information Technology Manager,5,4,1,4,8,14
0.85,12,8,4,8,5,0,0,0,1,1,2,0,0,1,1,0,0,0,0,1,Network Security Administrator,7,2,1,3,9,27
0.72,9,9,4,8,6,0,1,1,0,0,2,0,0,1,0,1,0,0,0,1,Quality Assurance Associate,1,6,7,5,9,2
0.86,12,9,0,2,3,0,0,0,0,1,0,2,0,0,0,1,1,1,0,1,UX Designer,3,6,8,0,6,8
0.92,12,6,3,2,1,1,1,1,1,1,0,2,1,0,1,1,0,0,1,0,Technical Support,8,4,8,0,2,4
0.65,9,2,2,5,3,0,0,0,1,0,1,1,0,1,1,0,0,1,0,1,Technical Support,0,6,2,5,3,8
0.72,6,1,0,7,8,1,1,1,0,0,2,2,0,1,1,1,0,0,0,0,CRM Business Analyst,6,1,2,2,0,2
0.69,5,2,1,2,7,1,1,0,0,1,1,2,0,0,1,0,1,0,1,1,Information Technology Manager,5,3,4,0,0,19
0.84,8,8,6,8,5,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,Network Security Administrator,6,4,9,1,0,27
0.72,10,9,4,5,3,0,1,1,1,0,1,1,1,0,1,0,1,1,1,1,Technical Engineer,6,0,9,5,2,7
0.78,5,9,2,3,4,0,1,0,1,1,2,0,0,1,0,1,0,0,0,1,Project Manager,8,5,0,4,0,16
0.78,7,9,4,2,8,0,0,1,1,1,1,2,1,1,1,1,0,1,0,1,CRM Technical Developer,0,1,9,1,8,24
0.85,5,6,0,3,2,1,1,1,0,1,1,2,0,0,0,1,1,0,0,1,Applications Developer,1,2,6,3,3,2
0.69,5,2,3,8,2,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,Web Developer,0,5,4,0,2,30
0.9,8,6,6,3,9,0,0,1,1,1,0,2,0,0,1,1,1,0,1,1,Network Security Administrator,3,0,6,0,5,4
0.62,9,3,5,6,5,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,Systems Security Administrator,4,1,0,2,6,10
0.86,4,6,3,2,8,0,1,0,1,1,0,1,0,0,1,1,0,1,1,1,Information Technology Auditor,4,0,9,0,2,18
0.64,4,9,3,1,1,1,0,1,1,1,0,0,1,1,1,0,0,1,0,1,Information Security Analyst,5,3,6,1,0,4
0.79,11,9,4,6,9,0,1,0,0,0,1,2,0,0,0,0,1,0,0,0,Network Security Administrator,3,2,5,2,9,6
0.7,6,4,1,6,9,0,1,1,1,0,2,1,0,0,1,0,0,0,0,1,Business Intelligence Analyst,8,7,8,0,3,7
0.91,8,9,6,5,2,1,0,1,1,0,0,1,1,0,1,0,1,1,1,1,E-Commerce Analyst,4,3,1,1,6,4
0.93,12,2,4,5,6,1,0,1,1,0,2,0,1,0,1,0,1,1,1,0,E-Commerce Analyst,7,1,5,1,4,5
0.65,11,1,3,9,3,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,Business Intelligence Analyst,0,1,6,3,3,24
0.69,4,8,4,4,6,1,0,1,1,0,0,2,0,0,1,1,1,1,1,0,Project Manager,8,4,3,5,9,14
0.74,9,7,0,2,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,Systems Analyst,8,2,3,2,3,15
0.92,9,2,1,6,1,1,0,1,1,1,2,0,0,1,1,0,1,0,0,0,Network Security Engineer,5,4,6,2,0,19
0.83,4,2,1,7,6,1,1,0,1,1,2,1,1,1,0,1,0,0,0,1,Network Security Administrator,4,7,4,2,6,26
0.85,9,8,1,9,1,1,0,1,1,0,2,1,1,0,1,1,0,1,0,0,Design & UX,7,5,8,2,0,12
0.63,10,9,0,3,9,1,0,1,1,1,0,1,0,1,1,0,0,0,0,1,Data Architect,5,5,7,4,2,13
0.91,7,1,0,8,9,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,E-Commerce Analyst,6,3,4,3,3,19
0.77,8,4,4,9,1,0,1,1,0,1,1,2,1,0,0,0,0,1,0,0,Database Administrator,0,7,6,5,7,23
0.62,6,8,4,2,6,1,0,1,0,1,2,2,1,1,1,1,0,0,1,1,Software Developer,3,5,8,2,2,25
0.94,7,4,5,1,6,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,Software Engineer,4,0,1,5,4,24
0.64,6,7,2,2,9,0,0,1,0,1,2,2,0,1,1,0,0,0,0,1,Technical Engineer,3,4,0,4,8,16
0.79,5,9,0,5,4,0,0,1,0,0,2,0,0,0,0,0,0,1,1,0,Business Intelligence Analyst,3,5,9,0,3,15
0.86,6,5,0,9,8,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,Software Developer,3,4,2,3,7,2
0.76,8,8,1,4,4,0,0,0,0,0,0,2,1,0,1,0,0,1,0,0,Network Security Administrator,0,1,9,2,0,13
0.81,12,7,0,3,1,0,1,0,1,1,2,2,1,1,0,1,0,1,1,1,Portal Administrator,1,4,5,0,8,15
0.7,4,6,2,1,8,0,0,0,0,0,1,2,0,1,0,0,0,1,0,1,Network Security Engineer,7,3,9,1,3,19
0.62,11,3,0,1,9,0,0,1,1,0,1,2,0,0,0,0,0,1,0,0,Database Developer,3,7,8,0,2,22
0.66,8,3,0,8,6,1,1,0,0,1,1,0,1,0,0,1,1,1,1,0,CRM Business Analyst,1,4,6,2,1,4
0.77,7,9,2,1,5,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,Software Quality Assurance (QA) / Testing,3,2,6,3,0,12
0.92,12,9,6,4,6,1,0,1,0,1,1,1,1,1,0,1,1,1,1,0,Information Technology Auditor,7,7,5,1,3,22
0.75,10,4,1,5,7,1,0,0,1,0,1,1,0,1,0,0,0,1,1,1,Business Systems Analyst,5,1,0,4,9,11
0.74,10,2,2,7,6,0,1,1,0,0,2,2,1,0,0,1,0,0,0,0,Software Engineer,6,3,3,0,4,23
0.72,12,8,0,8,3,0,1,0,0,1,0,1,0,0,1,0,1,1,1,1,CRM Technical Developer,8,0,2,1,0,17
0.88,5,3,6,1,7,1,0,1,0,0,1,2,1,0,1,1,1,1,1,1,Project Manager,5,1,3,0,8,6
0.7,10,8,5,5,5,1,1,0,0,1,1,2,1,1,0,1,1,0,0,0,CRM Business Analyst,2,2,8,5,9,21
0.66,5,2,3,8,6,0,1,0,0,0,2,0,0,1,0,1,0,1,0,1,Programmer Analyst,8,2,2,4,1,18
0.63,7,3,2,5,2,1,1,1,0,0,0,2,1,1,1,0,0,1,0,0,CRM Business Analyst,7,4,4,1,9,30
0.72,4,6,6,2,4,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,Database Administrator,7,4,1,2,4,22
0.66,10,5,4,4,4,1,0,1,0,0,2,1,0,1,0,1,0,1,0,1,Portal Administrator,3,3,7,2,4,27
0.61,9,3,3,3,8,0,0,0,1,0,2,1,1,1,1,0,1,1,0,1,Solutions Architect,3,4,9,2,6,10
0.78,9,7,3,3,4,1,1,1,1,1,0,2,1,1,1,1,1,1,1,1,Quality Assurance Associate,3,1,4,4,7,26
0.85,11,7,3,9,3,0,0,1,0,0,0,2,1,1,1,0,1,1,0,0,Software Systems Engineer,8,2,0,1,6,13
0.6,12,6,6,5,3,1,1,1,1,0,2,0,0,1,0,0,1,0,0,0,Solutions Architect,3,3,6,0,0,13
0.93,11,3,1,4,7,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,Information Security Analyst,6,4,6,1,5,10
0.67,8,5,5,1,6,0,0,0,1,1,2,2,1,0,0,1,0,0,0,0,CRM Technical Developer,2,5,1,3,1,30
0.94,9,3,4,3,5,1,1,1,1,0,2,0,1,1,0,0,0,0,1,1,Technical Engineer,7,2,1,3,2,20
0.86,11,9,0,8,7,1,1,0,0,1,0,0,1,1,1,1,0,0,1,0,Technical Engineer,3,6,3,3,3,2
0.75,9,8,2,9,6,1,1,1,0,0,2,0,0,1,0,0,1,1,0,1,Software Engineer,6,7,7,5,2,28
0.62,10,7,3,1,4,0,1,1,0,0,2,1,0,0,1,0,0,0,0,0,Web Developer,5,1,9,3,0,13
0.61,9,7,5,9,8,0,1,1,0,0,1,0,1,0,1,1,1,1,0,1,Data Architect,3,1,7,4,6,1
0.86,8,8,0,5,3,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,Systems Analyst,1,2,5,1,2,15
0.73,6,9,2,6,6,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,Network Security Administrator,3,5,9,3,8,12
0.75,8,4,6,9,9,0,0,0,0,1,2,1,1,1,0,0,1,1,1,1,Technical Engineer,7,7,7,1,0,0
0.67,10,9,3,8,3,0,0,1,0,0,2,2,1,1,0,0,1,0,0,0,Portal Administrator,8,0,4,2,5,24
0.83,12,6,3,4,5,0,0,1,0,1,2,1,1,1,1,0,0,1,0,1,Network Security Engineer,0,5,7,2,4,7
0.84,11,4,6,5,8,1,1,1,0,0,0,0,0,1,0,1,0,0,1,1,CRM Business Analyst,5,7,3,0,8,27
0.94,12,8,5,7,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,UX Designer,4,2,9,0,7,27
0.78,5,1,6,8,2,0,0,1,0,1,0,2,0,1,1,1,0,1,0,1,Technical Engineer,1,2,7,3,6,0
0.73,8,8,3,2,4,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,Project Manager,6,7,0,0,1,20
0.7,6,9,1,4,1,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,Network Engineer,2,6,6,3,5,3
0.78,12,7,1,7,5,0,1,0,1,1,2,1,1,0,1,0,1,1,1,0,Business Systems Analyst,1,2,8,3,0,27
0.66,9,8,3,3,3,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,Technical Support,8,2,3,3,8,11
0.73,9,9,0,9,3,0,0,1,0,1,2,0,0,1,1,0,0,1,0,1,Technical Support,3,2,4,2,5,6
0.85,9,5,0,8,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,Network Engineer,7,5,7,3,5,16
0.81,10,2,4,4,4,1,0,1,0,0,1,2,1,0,1,0,1,0,0,1,Portal Administrator,1,2,5,4,8,5
0.94,6,7,3,2,5,0,0,0,0,1,1,2,0,1,0,1,1,0,0,0,CRM Business Analyst,8,5,1,0,1,1
0.68,11,2,6,4,9,1,0,0,0,0,2,2,1,1,0,0,1,1,0,1,Network Security Engineer,4,2,9,4,3,3
0.87,12,3,1,4,5,1,0,0,0,1,0,0,0,1,1,1,0,0,1,1,Mobile Applications Developer,6,2,5,3,6,14
0.73,8,7,4,2,9,1,1,1,1,0,0,2,0,1,1,1,1,0,1,0,Project Manager,8,2,2,4,9,6
0.76,5,3,0,7,4,0,1,0,0,1,2,2,0,1,0,0,1,1,0,0,Software Systems Engineer,0,3,5,0,1,18
0.62,4,9,1,5,6,1,0,0,1,1,2,1,1,1,1,1,0,1,0,1,Web Developer,8,7,5,2,2,10
0.85,4,6,0,5,3,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,Database Manager,1,1,0,2,5,1
0.8,7,1,4,7,4,0,1,0,1,1,1,0,0,1,0,1,0,0,0,1,Network Engineer,4,0,2,0,6,14
0.9,7,4,4,6,7,1,0,1,0,0,2,1,1,0,1,0,0,0,0,0,Technical Support,8,5,0,1,7,14
0.79,12,3,3,2,7,0,1,0,0,1,2,0,0,0,0,0,1,1,1,1,Technical Services/Help Desk/Tech Support,4,5,7,4,6,18
0.7,9,1,3,8,5,0,0,1,1,0,2,1,0,1,1,0,1,0,1,0,Network Engineer,2,4,1,5,5,10
0.9,8,1,5,3,6,1,1,1,0,0,1,0,0,1,0,0,1,1,1,0,Network Security Engineer,3,7,6,4,5,21
0.66,6,3,6,7,2,0,1,1,0,1,0,1,0,1,0,0,1,1,1,1,Network Engineer,1,2,3,5,7,28
